"603";"tuze";"419";"132,494"
"604";"níž";"419";"132,494"
"605";"případ";"418";"132,177"
"606";"čtyři";"418";"132,177"
"607";"vypadá";"418";"132,177"
"608";"sociální";"417";"131,861"
"609";"mravní";"415";"131,229"
"610";"alter";"414";"130,913"
"611";"nikoliv";"414";"130,913"
"612";"čili";"414";"130,913"
"613";"napsal";"414";"130,913"
"614";"státu";"413";"130,596"
"615";"jehož";"411";"129,964"
"616";"války";"411";"129,964"
"617";"cesty";"411";"129,964"
"618";"hodiny";"411";"129,964"
"619";"jaká";"410";"129,648"
"620";"cestu";"410";"129,648"
"621";"právo";"409";"129,331"
"622";"filozofie";"408";"129,015"
"623";"tiše";"408";"129,015"
"624";"praha";"406";"128,383"
"625";"mimi";"405";"128,067"
"626";"otec";"405";"128,067"
"627";"chci";"405";"128,067"
"628";"ego";"404";"127,75"
"629";"matka";"404";"127,75"
"630";"smrti";"403";"127,434"
"631";"strany";"403";"127,434"
"632";"nuže";"403";"127,434"
"633";"mohou";"403";"127,434"
"634";"skutečnost";"402";"127,118"
"635";"novin";"402";"127,118"
"636";"způsobem";"402";"127,118"
"637";"vidíš";"401";"126,802"
"638";"mluvil";"401";"126,802"
"639";"rychle";"400";"126,486"
"640";"básník";"400";"126,486"
"641";"jedné";"400";"126,486"
"642";"řečeno";"398";"125,853"
"643";"10";"398";"125,853"
"644";"naopak";"398";"125,853"
"645";"jednak";"397";"125,537"
"646";"něj";"396";"125,221"
"647";"jiní";"395";"124,905"
"648";"nějaká";"393";"124,272"
"649";"jiná";"393";"124,272"
"650";"cesta";"392";"123,956"
"651";"deset";"392";"123,956"
"652";"7";"391";"123,64"
"653";"vidí";"391";"123,64"
"654";"kdežto";"390";"123,323"
"655";"duch";"390";"123,323"
"656";"malé";"390";"123,323"
"657";"náboženství";"389";"123,007"
"658";"hlavy";"389";"123,007"
"659";"vážně";"389";"123,007"
"660";"ruky";"388";"122,691"
"661";"ulice";"387";"122,375"
"662";"věděl";"386";"122,059"
"663";"nejlepší";"386";"122,059"
"664";"mohla";"385";"121,742"
"665";"města";"385";"121,742"
"666";"pánové";"385";"121,742"
"667";"veliká";"384";"121,426"
"668";"boží";"384";"121,426"
"669";"muže";"384";"121,426"
"670";"nejen";"383";"121,11"
"671";"ostatně";"383";"121,11"
"672";"takhle";"382";"120,794"
"673";"říkal";"380";"120,161"
"674";"státní";"380";"120,161"
"675";"stará";"380";"120,161"
"676";"špatně";"380";"120,161"
"677";"dávno";"379";"119,845"
"678";"jo";"378";"119,529"
"679";"sedí";"377";"119,213"
"680";"kousek";"377";"119,213"
"681";"týče";"377";"119,213"
"682";"duši";"376";"118,896"
"683";"nesmírně";"375";"118,58"
"684";"řekla";"371";"117,315"
"685";"místa";"371";"117,315"
"686";"patří";"371";"117,315"
"687";"několika";"371";"117,315"
"688";"vody";"370";"116,999"
"689";"včera";"370";"116,999"
"690";"obraz";"368";"116,367"
"691";"kterém";"368";"116,367"
"692";"sami";"367";"116,051"
"693";"estetické";"366";"115,734"
"694";"abys";"366";"115,734"
"695";"vzal";"366";"115,734"
"696";"nohy";"366";"115,734"
"697";"tvář";"365";"115,418"
"698";"rukama";"364";"115,102"
"699";"svému";"363";"114,786"
"700";"zájmu";"363";"114,786"
"701";"ulici";"363";"114,786"
"702";"těm";"363";"114,786"
"703";"vůle";"361";"114,153"
"704";"domin";"361";"114,153"
"705";"čistě";"360";"113,837"
"706";"kdybyste";"359";"113,521"
"707";"ticho";"359";"113,521"
"708";"mohu";"359";"113,521"
"709";"12";"357";"112,888"
"710";"tuhle";"357";"112,888"
"711";"nežli";"357";"112,888"
"712";"čemu";"356";"112,572"
"713";"řekne";"356";"112,572"
"714";"půl";"355";"112,256"
"715";"listy";"354";"111,94"
"716";"cizí";"354";"111,94"
"717";"krásná";"353";"111,624"
"718";"řeči";"353";"111,624"
"719";"některé";"352";"111,307"
"720";"slunce";"352";"111,307"
"721";"stává";"350";"110,675"
"722";"stačí";"350";"110,675"
"723";"každého";"350";"110,675"
"724";"vidím";"349";"110,359"
"725";"umělecké";"349";"110,359"
"726";"zajisté";"348";"110,042"
"727";"čeho";"347";"109,726"
"728";"11";"347";"109,726"
"729";"dětí";"347";"109,726"
"730";"lid";"346";"109,41"
"731";"věcech";"346";"109,41"
"732";"čem";"346";"109,41"
"733";"ó";"346";"109,41"
"734";"předem";"346";"109,41"
"735";"demokracie";"345";"109,094"
"736";"dělal";"345";"109,094"
"737";"nakonec";"344";"108,778"
"738";"kterého";"343";"108,461"
"739";"oddaný";"343";"108,461"
"740";"krásy";"343";"108,461"
"741";"děl";"342";"108,145"
"742";"sto";"342";"108,145"
"743";"zájem";"342";"108,145"
"744";"zato";"341";"107,829"
"745";"další";"340";"107,513"
"746";"slov";"340";"107,513"
"747";"pořádku";"339";"107,197"
"748";"neví";"339";"107,197"
"749";"zdraví";"339";"107,197"
"750";"štěstí";"339";"107,197"
"751";"žije";"339";"107,197"
"752";"síly";"338";"106,88"
"753";"jiným";"337";"106,564"
"754";"řekněme";"336";"106,248"
"755";"jakési";"336";"106,248"
"756";"dojem";"335";"105,932"
"757";"budiž";"333";"105,299"
"758";"hodin";"333";"105,299"
"759";"smrt";"332";"104,983"
"760";"případě";"332";"104,983"
"761";"dvou";"332";"104,983"
"762";"zkušenosti";"331";"104,667"
"763";"všemi";"331";"104,667"
"764";"něčím";"331";"104,667"
"765";"kolik";"331";"104,667"
"766";"těžko";"331";"104,667"
"767";"moci";"331";"104,667"
"768";"nová";"330";"104,351"
"769";"článek";"329";"104,034"
"770";"očí";"329";"104,034"
"771";"srdečně";"329";"104,034"
"772";"rozum";"329";"104,034"
"773";"pocit";"328";"103,718"
"774";"nebudu";"328";"103,718"
"775";"nesmí";"328";"103,718"
"776";"brzo";"327";"103,402"
"777";"bondy";"327";"103,402"
"778";"hlavní";"326";"103,086"
"779";"krom";"326";"103,086"
"780";"denně";"325";"102,77"
"781";"dní";"325";"102,77"
"782";"prezident";"324";"102,453"
"783";"bohužel";"324";"102,453"
"784";"možná";"324";"102,453"
"785";"nechci";"324";"102,453"
"786";"nemají";"322";"101,821"
"787";"známo";"322";"101,821"
"788";"město";"321";"101,505"
"789";"tobě";"321";"101,505"
"790";"nač";"321";"101,505"
"791";"myšlení";"321";"101,505"
"792";"psaní";"318";"100,556"
"793";"podobně";"317";"100,24"
"794";"vědět";"317";"100,24"
"795";"dolů";"317";"100,24"
"796";"mou";"317";"100,24"
"797";"cestou";"315";"99,607"
"798";"záleží";"315";"99,607"
"799";"žít";"314";"99,291"
"800";"takže";"312";"98,659"
"801";"samo";"312";"98,659"
"802";"hodnoty";"312";"98,659"
"803";"novinách";"312";"98,659"
"804";"myslel";"312";"98,659"
"805";"většinou";"311";"98,343"
"806";"jménem";"311";"98,343"
"807";"dívá";"311";"98,343"
"808";"jediný";"310";"98,026"
"809";"píše";"310";"98,026"
"810";"zuby";"310";"98,026"
"811";"páni";"309";"97,71"
"812";"dole";"309";"97,71"
"813";"dvacet";"309";"97,71"
"814";"vývoj";"309";"97,71"
"815";"jenže";"309";"97,71"
"816";"jakýsi";"309";"97,71"
"817";"bílé";"308";"97,394"
"818";"šlo";"308";"97,394"
"819";"krásný";"307";"97,078"
"820";"budeš";"307";"97,078"
"821";"pěkné";"306";"96,761"
"822";"musíte";"306";"96,761"
"823";"oni";"305";"96,445"
"824";"leží";"305";"96,445"
"825";"panu";"305";"96,445"
"826";"přírody";"305";"96,445"
